qualifyid,raceid,driverid,constructorid,position_final,year,round,circuitid,circuitref,car_condition,driver_condition,position_q1,previous_year_position_q1,circuitref_fastlap,driver_time_vs_fastlap,car_time_vs_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,driver_q2vsq1,car_q2vsq1,previous_driver_q2vsq1,previous_car_q2vsq1,position_q2,previous_year_position_q2,q3disqualified,driver_q3vsq2,car_q3vsq2,previous_driver_q3vsq2,previous_car_q3vsq2,position_q3,previous_year_position_q3,q1,q2,q3
9116.0,1051,1.0,131.0,1.0,2021.0,20.0,78.0,losail,90.0,95.0,1.0,20.0,83777.0,-1876.0,-1818.5,0.0,0.0,0,-219.0,-122.0,0.0,0.0,6.0,20.0,0,-855.0,-684.0,0.0,0.0,11.0,20.0,81901.0,81682.0,80827.0
9118.0,1051,822.0,131.0,3.0,2021.0,20.0,78.0,losail,90.0,85.0,3.0,20.0,83777.0,-1761.0,-1818.5,0.0,0.0,0,-25.0,-122.0,0.0,0.0,10.0,20.0,0,-513.0,-684.0,0.0,0.0,13.0,20.0,82016.0,81991.0,81478.0
9120.0,1051,4.0,214.0,6.0,2021.0,20.0,78.0,losail,57.5,70.0,6.0,20.0,83777.0,-1355.0,-1283.5,0.0,0.0,0,-528.0,-540.5,0.0,0.0,8.0,20.0,0,-224.0,-104.0,0.0,0.0,15.0,20.0,82422.0,81894.0,81670.0
9124.0,1051,839.0,214.0,11.0,2021.0,20.0,78.0,losail,57.5,45.0,11.0,20.0,83777.0,-1212.0,-1283.5,0.0,0.0,0,-553.0,-540.5,0.0,0.0,11.0,20.0,1,16.0,-104.0,0.0,0.0,19.0,20.0,82565.0,82012.0,82028.0
9131.0,1051,8.0,51.0,16.0,2021.0,20.0,78.0,losail,15.0,20.0,16.0,20.0,83777.0,-621.0,-568.0,0.0,0.0,1,0.0,0.0,0.0,0.0,16.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,83156.0,0.0,0.0
9133.0,1051,841.0,51.0,18.0,2021.0,20.0,78.0,losail,15.0,10.0,18.0,20.0,83777.0,-515.0,-568.0,0.0,0.0,1,0.0,0.0,0.0,0.0,18.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,83262.0,0.0,0.0
9125.0,1051,20.0,117.0,9.0,2021.0,20.0,78.0,losail,52.5,55.00000000000001,9.0,20.0,83777.0,-1228.0,-1227.0,0.0,0.0,0,-403.0,-247.0,0.0,0.0,13.0,20.0,1,639.0,319.5,0.0,0.0,20.0,20.0,82549.0,82146.0,82785.0
9127.0,1051,840.0,117.0,10.0,2021.0,20.0,78.0,losail,52.5,50.0,10.0,20.0,83777.0,-1226.0,-1227.0,0.0,0.0,0,-91.0,-247.0,0.0,0.0,17.0,20.0,1,0.0,319.5,0.0,0.0,5.5,20.0,82551.0,82460.0,0.0
9126.0,1051,815.0,9.0,5.0,2021.0,20.0,78.0,losail,82.5,75.0,5.0,20.0,83777.0,-1379.0,-1580.0,0.0,0.0,0,-52.0,-32.0,0.0,0.0,16.0,20.0,1,0.0,-351.0,0.0,0.0,5.5,20.0,82398.0,82346.0,0.0
9117.0,1051,830.0,9.0,2.0,2021.0,20.0,78.0,losail,82.5,90.0,2.0,20.0,83777.0,-1781.0,-1580.0,0.0,0.0,0,-12.0,-32.0,0.0,0.0,9.0,20.0,0,-702.0,-351.0,0.0,0.0,12.0,20.0,81996.0,81984.0,81282.0
9129.0,1051,817.0,1.0,12.0,2021.0,20.0,78.0,losail,35.0,40.0,12.0,20.0,83777.0,-1089.0,-1013.5,0.0,0.0,0,-91.0,-357.0,0.0,0.0,19.0,20.0,1,0.0,-242.5,0.0,0.0,5.5,20.0,82688.0,82597.0,0.0
9121.0,1051,846.0,1.0,14.0,2021.0,20.0,78.0,losail,35.0,30.0,14.0,20.0,83777.0,-938.0,-1013.5,0.0,0.0,0,-623.0,-357.0,0.0,0.0,14.0,20.0,1,-485.0,-242.5,0.0,0.0,16.0,20.0,82839.0,82216.0,81731.0
9122.0,1051,832.0,6.0,4.0,2021.0,20.0,78.0,losail,57.5,80.0,4.0,20.0,83777.0,-1473.0,-1254.0,0.0,0.0,0,-63.0,-171.0,0.0,0.0,15.0,20.0,1,-401.0,-200.5,0.0,0.0,17.0,20.0,82304.0,82241.0,81840.0
9128.0,1051,844.0,6.0,13.0,2021.0,20.0,78.0,losail,57.5,35.0,13.0,20.0,83777.0,-1035.0,-1254.0,0.0,0.0,0,-279.0,-171.0,0.0,0.0,18.0,20.0,1,0.0,-200.5,0.0,0.0,5.5,20.0,82742.0,82463.0,0.0
9119.0,1051,842.0,213.0,8.0,2021.0,20.0,78.0,losail,62.5,60.0,8.0,20.0,83777.0,-1242.0,-1280.5,0.0,0.0,0,-807.0,-603.5,0.0,0.0,7.0,20.0,0,-88.0,-132.5,0.0,0.0,14.0,20.0,82535.0,81728.0,81640.0
9123.0,1051,852.0,213.0,7.0,2021.0,20.0,78.0,losail,62.5,65.0,7.0,20.0,83777.0,-1319.0,-1280.5,0.0,0.0,0,-400.0,-603.5,0.0,0.0,12.0,20.0,1,-177.0,-132.5,0.0,0.0,18.0,20.0,82458.0,82058.0,81881.0
9130.0,1051,847.0,3.0,15.0,2021.0,20.0,78.0,losail,20.0,25.0,15.0,20.0,83777.0,-914.0,-739.0,0.0,0.0,0,-107.0,-53.5,0.0,0.0,20.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,82863.0,82756.0,0.0
9132.0,1051,849.0,3.0,17.0,2021.0,20.0,78.0,losail,20.0,15.0,17.0,20.0,83777.0,-564.0,-739.0,0.0,0.0,1,0.0,-53.5,0.0,0.0,17.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,83213.0,0.0,0.0
9135.0,1051,853.0,210.0,20.0,2021.0,20.0,78.0,losail,2.5,0.0,20.0,20.0,83777.0,2082.0,856.0,0.0,0.0,1,0.0,0.0,0.0,0.0,20.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,85859.0,0.0,0.0
9134.0,1051,854.0,210.0,19.0,2021.0,20.0,78.0,losail,2.5,5.0,19.0,20.0,83777.0,-370.0,856.0,0.0,0.0,1,0.0,0.0,0.0,0.0,19.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,83407.0,0.0,0.0
10295.0,1132,1.0,131.0,0.0,2024.0,23.0,78.0,losail,100.0,100.0,6.0,1.0,83777.0,,,-1876.0,-1818.5,0,,,-219.0,-122.0,1.0,6.0,0,,,-855.0,-684.0,,11.0,85044.234375,82433.234,
10300.0,1132,847.0,131.0,0.0,2024.0,23.0,78.0,losail,100.0,100.0,10.0,15.0,83777.0,,,-914.0,-739.0,0,,,-107.0,-53.5,4.0,20.0,0,,,0.0,0.0,,5.5,85045.9296875,82495.5,
10297.0,1132,4.0,117.0,0.0,2024.0,23.0,78.0,losail,100.0,100.0,9.0,6.0,83777.0,,,-1355.0,-1283.5,0,,,-528.0,-540.5,9.0,8.0,0,,,-224.0,-104.0,,15.0,85045.3828125,82629.086,
10305.0,1132,840.0,117.0,0.0,2024.0,23.0,78.0,losail,100.0,100.0,10.0,10.0,83777.0,,,-1226.0,-1227.0,0,,,-91.0,-247.0,15.0,17.0,1,,,0.0,319.5,,5.5,85045.9296875,82672.305,
10312.0,1132,807.0,213.0,0.0,2024.0,23.0,78.0,losail,150.0,100.0,8.0,20.0,83777.0,,,0.0,0.0,0,,,0.0,0.0,2.0,20.0,0,,,0.0,0.0,,20.0,85044.5625,82452.78,
10311.0,1132,817.0,213.0,0.0,2024.0,23.0,78.0,losail,150.0,100.0,14.0,12.0,83777.0,,,-1089.0,-1013.5,0,,,-91.0,-357.0,3.0,19.0,0,,,0.0,-242.5,,5.5,85046.1328125,82492.1,
10301.0,1132,852.0,213.0,0.0,2024.0,23.0,78.0,losail,150.0,100.0,17.0,7.0,83777.0,,,-1319.0,-1280.5,1,,,-400.0,-603.5,17.0,12.0,1,,,-177.0,-132.5,,18.0,85107.4453125,0.0,
10299.0,1132,815.0,9.0,0.0,2024.0,23.0,78.0,losail,100.0,100.0,5.0,5.0,83777.0,,,-1379.0,-1580.0,0,,,-52.0,-32.0,10.0,16.0,0,,,0.0,-351.0,,5.5,85043.046875,82632.33,
10294.0,1132,830.0,9.0,0.0,2024.0,23.0,78.0,losail,100.0,100.0,7.0,2.0,83777.0,,,-1781.0,-1580.0,0,,,-12.0,-32.0,11.0,9.0,1,,,-702.0,-351.0,,12.0,85044.4140625,82649.83,
10302.0,1132,822.0,51.0,0.0,2024.0,23.0,78.0,losail,100.0,100.0,14.0,3.0,83777.0,,,-1761.0,-1818.5,0,,,-25.0,-122.0,14.0,10.0,1,,,-513.0,-684.0,,13.0,85046.1328125,82671.625,
10309.0,1132,855.0,51.0,0.0,2024.0,23.0,78.0,losail,100.0,100.0,20.0,20.0,83777.0,,,0.0,0.0,1,,,0.0,0.0,20.0,20.0,1,,,0.0,0.0,,20.0,85617.7890625,0.0,
10307.0,1132,825.0,210.0,0.0,2024.0,23.0,78.0,losail,50.0,100.0,16.0,20.0,83777.0,,,0.0,0.0,1,,,0.0,0.0,16.0,20.0,1,,,0.0,0.0,,20.0,85085.1484375,0.0,
10296.0,1132,832.0,6.0,0.0,2024.0,23.0,78.0,losail,100.0,100.0,1.0,4.0,83777.0,,,-1473.0,-1254.0,0,,,-63.0,-171.0,8.0,15.0,0,,,-401.0,-200.5,,17.0,85037.3203125,82628.53,
10293.0,1132,844.0,6.0,0.0,2024.0,23.0,78.0,losail,100.0,100.0,1.0,13.0,83777.0,,,-1035.0,-1254.0,0,,,-279.0,-171.0,7.0,18.0,0,,,0.0,-200.5,,5.5,85037.3203125,82625.695,
10304.0,1132,839.0,214.0,0.0,2024.0,23.0,78.0,losail,100.0,100.0,10.0,11.0,83777.0,,,-1212.0,-1283.5,0,,,-553.0,-540.5,5.0,11.0,0,,,16.0,-104.0,,19.0,85045.9296875,82495.586,
10303.0,1132,842.0,214.0,0.0,2024.0,23.0,78.0,losail,100.0,100.0,10.0,8.0,83777.0,,,-1242.0,-1280.5,0,,,-807.0,-603.5,6.0,7.0,0,,,-88.0,-132.5,,14.0,85045.9296875,82497.48,
10306.0,1132,846.0,1.0,0.0,2024.0,23.0,78.0,losail,100.0,100.0,1.0,14.0,83777.0,,,-938.0,-1013.5,0,,,-623.0,-357.0,12.0,14.0,1,,,-485.0,-242.5,,16.0,85037.3203125,82657.375,
10298.0,1132,857.0,1.0,0.0,2024.0,23.0,78.0,losail,100.0,100.0,18.0,20.0,83777.0,,,0.0,0.0,1,,,0.0,0.0,18.0,20.0,1,,,0.0,0.0,,20.0,85616.25,0.0,
10308.0,1132,848.0,3.0,0.0,2024.0,23.0,78.0,losail,100.0,100.0,1.0,20.0,83777.0,,,0.0,0.0,0,,,0.0,0.0,13.0,20.0,1,,,0.0,0.0,,20.0,85037.3203125,82658.1,
10310.0,1132,858.0,3.0,0.0,2024.0,23.0,78.0,losail,100.0,100.0,18.0,20.0,83777.0,,,0.0,0.0,1,,,0.0,0.0,18.0,20.0,1,,,0.0,0.0,,20.0,85616.25,0.0,
